hudnum,state_name,cty_name,aland,county_fips,geoid
TX-607,Texas,Schleicher County,3394546068,413,48413
TX-607,Texas,Crockett County,7270935061,105,48105
TX-607,Texas,Scurry County,2345090475,415,48415
TX-607,Texas,Irion County,2723485993,235,48235
TX-607,Texas,Carson County,2383397226,65,48065
TX-607,Texas,Donley County,2401014207,129,48129
TX-607,Texas,Nolan County,2362061769,353,48353
TX-607,Texas,Live Oak County,2692796908,297,48297
TX-607,Texas,Jim Hogg County,2942674728,247,48247
TX-607,Texas,Borden County,2324366072,33,48033
TX-607,Texas,Tyler County,2394158672,457,48457
TX-607,Texas,Wood County,1671173034,499,48499
TX-607,Texas,Van Zandt County,2182251753,467,48467
TX-607,Texas,Dickens County,2335454676,125,48125
TX-607,Texas,Rains County,594376473,379,48379
TX-607,Texas,Tom Green County,3942790948,451,48451
TX-607,Texas,Hockley County,2352723974,219,48219
TX-607,Texas,Dimmit County,3441795902,127,48127
TX-607,Texas,Colorado County,2487142714,89,48089
TX-607,Texas,Duval County,4645084669,131,48131
TX-607,Texas,Ward County,2164201058,475,48475
TX-607,Texas,Nacogdoches County,2450966944,347,48347
TX-607,Texas,Floyd County,2569637282,153,48153
TX-607,Texas,Hopkins County,1987637219,223,48223
TX-607,Texas,Trinity County,1796920725,455,48455
TX-607,Texas,Fisher County,2328272083,151,48151
TX-607,Texas,Stonewall County,2373238700,433,48433
TX-607,Texas,Kimble County,3240024038,267,48267
TX-607,Texas,Gray County,2398261679,179,48179
TX-607,Texas,DeWitt County,2354237964,123,48123
TX-607,Texas,Briscoe County,2330991073,45,48045
TX-607,Texas,Reagan County,3044049119,383,48383
TX-607,Texas,La Salle County,3850545746,283,48283
TX-607,Texas,Upshur County,1509910857,459,48459
TX-607,Texas,Morris County,652649023,343,48343
TX-607,Texas,Roberts County,2393298442,393,48393
TX-607,Texas,Titus County,1052317505,449,48449
TX-607,Texas,Reeves County,6825534317,389,48389
TX-607,Texas,Swisher County,2305502703,437,48437
TX-607,Texas,Glasscock County,2331552974,173,48173
TX-607,Texas,Menard County,2336237980,327,48327
TX-607,Texas,Fayette County,2460316915,149,48149
TX-607,Texas,Bee County,2279809489,25,48025
TX-607,Texas,Delta County,665192724,119,48119
TX-607,Texas,San Augustine County,1374400363,405,48405
TX-607,Texas,Sutton County,3765674775,435,48435
TX-607,Texas,Moore County,2330207190,341,48341
TX-607,Texas,Hutchinson County,2298418616,233,48233
TX-607,Texas,Mason County,2405674102,319,48319
TX-607,Texas,Martin County,2369724588,317,48317
TX-607,Texas,Smith County,2386635985,423,48423
TX-607,Texas,Upton County,3215010600,461,48461
TX-607,Texas,Polk County,2737754336,373,48373
TX-607,Texas,Jasper County,2431105362,241,48241
TX-607,Texas,Jim Wells County,2240795374,249,48249
TX-607,Texas,Rusk County,2393663216,401,48401
TX-607,Texas,Pecos County,12338274936,371,48371
TX-607,Texas,Lynn County,2309924808,305,48305
TX-607,Texas,Crosby County,2331503444,107,48107
TX-607,Texas,Camp County,507242364,63,48063
TX-607,Texas,Ector County,2325508554,135,48135
TX-607,Texas,Lavaca County,2511535215,285,48285
TX-607,Texas,Edwards County,5485263220,137,48137
TX-607,Texas,McCulloch County,2759893532,307,48307
TX-607,Texas,Gonzales County,2762704899,177,48177
TX-607,Texas,Howard County,2333034781,227,48227
TX-607,Texas,Goliad County,2206698612,175,48175
TX-607,Texas,Frio County,2935753502,163,48163
TX-607,Texas,San Saba County,2940447162,411,48411
TX-607,Texas,Kent County,2337482031,263,48263
TX-607,Texas,Armstrong County,2354617584,11,48011
TX-607,Texas,Angelina County,2066462047,5,48005
TX-607,Texas,Zavala County,3360268878,507,48507
TX-607,Texas,Crane County,2033319685,103,48103
TX-607,Texas,Uvalde County,4019458732,463,48463
TX-607,Texas,McMullen County,2952066567,311,48311
TX-607,Texas,Castro County,2316600394,69,48069
TX-607,Texas,Cherokee County,2727137884,73,48073
TX-607,Texas,Hardin County,2306583500,199,48199
TX-607,Texas,Midland County,2331915322,329,48329
TX-607,Texas,Mills County,1937892797,333,48333
TX-607,Texas,Garza County,2313937122,169,48169
TX-607,Texas,Concho County,2547914005,95,48095
TX-607,Texas,Terry County,2302113089,445,48445
TX-607,Texas,Gregg County,708052134,183,48183
TX-607,Texas,Sterling County,2391722770,431,48431
TX-607,Texas,Lubbock County,2319604088,303,48303
TX-607,Texas,Runnels County,2722259321,399,48399
TX-607,Texas,Taylor County,2371228265,441,48441
TX-607,Texas,Lamb County,2631897586,279,48279
TX-607,Texas,Kerr County,2857619178,265,48265
TX-607,Texas,Coke County,2361153198,81,48081
TX-607,Texas,Franklin County,736569934,159,48159
TX-607,Texas,Gillespie County,2740733391,171,48171
TX-607,Texas,Comanche County,2428768926,93,48093
TX-607,Texas,Brown County,2446120254,49,48049
TX-607,Texas,Jones County,2405078243,253,48253
TX-607,Texas,Dawson County,2331781562,115,48115
TX-607,Texas,Lampasas County,1845440046,281,48281
TX-607,Texas,Coleman County,3270933230,83,48083
TX-607,Texas,Callahan County,2329363243,59,48059
TX-607,Texas,Mitchell County,2359720445,335,48335
TX-607,Texas,Hale County,2602109424,189,48189
TX-607,Texas,Real County,1810814896,385,48385
TX-607,Texas,Karnes County,1936669680,255,48255
TX-607,Texas,Brooks County,2443277014,47,48047
TX-607,Texas,Llano County,2419218258,299,48299
GA-501,Georgia,Pierce County,881797573,229,13229
GA-501,Georgia,Bibb County,645898854,21,13021
GA-501,Georgia,Taliaferro County,504029144,265,13265
GA-501,Georgia,Putnam County,892721735,237,13237
GA-501,Georgia,Mitchell County,1326483082,205,13205
GA-501,Georgia,Miller County,731471756,201,13201
GA-501,Georgia,Jones County,1020304153,169,13169
GA-501,Georgia,Houston County,974236344,153,13153
GA-501,Georgia,Pike County,559660486,231,13231
GA-501,Georgia,Barrow County,417122366,13,13013
GA-501,Georgia,Baldwin County,670028049,9,13009
GA-501,Georgia,Toombs County,942794614,279,13279
GA-501,Georgia,Greene County,1003664492,133,13133
GA-501,Georgia,Warren County,736510932,301,13301
GA-501,Georgia,Wayne County,1662287074,305,13305
GA-501,Georgia,Twiggs County,930478094,289,13289
GA-501,Georgia,Schley County,432291202,249,13249
GA-501,Georgia,Crawford County,841524046,79,13079
GA-501,Georgia,Hancock County,1220057416,141,13141
GA-501,Georgia,Brantley County,1147972265,25,13025
GA-501,Georgia,Webster County,543010089,307,13307
GA-501,Georgia,Wilkinson County,1163481422,319,13319
GA-501,Georgia,Sumter County,1250646291,261,13261
GA-501,Georgia,Tattnall County,1245369508,267,13267
GA-501,Georgia,Lanier County,509030779,173,13173
GA-501,Georgia,Bacon County,735776107,5,13005
GA-501,Georgia,Appling County,1316393793,1,13001
GA-501,Georgia,Bleckley County,559122131,23,13023
GA-501,Georgia,White County,623600283,311,13311
GA-501,Georgia,Wilcox County,978525380,315,13315
GA-501,Georgia,Pickens County,601019205,227,13227
GA-501,Georgia,Washington County,1757374002,303,13303
GA-501,Georgia,Wheeler County,765314382,309,13309
GA-501,Georgia,Lamar County,475264402,171,13171
GA-501,Georgia,Wilkes County,1216008875,317,13317
GA-501,Georgia,Crisp County,706237949,81,13081
GA-501,Georgia,Newton County,709175872,217,13217
GA-501,Georgia,Emanuel County,1762679432,107,13107
GA-501,Georgia,Bulloch County,1750735216,31,13031
GA-501,Georgia,Gilmer County,1103804462,123,13123
GA-501,Georgia,Taylor County,975613073,269,13269
GA-501,Georgia,Hall County,1016489905,139,13139
GA-501,Georgia,Telfair County,1132621092,271,13271
GA-501,Georgia,Treutlen County,516524094,283,13283
GA-501,Georgia,Montgomery County,624563059,209,13209
GA-501,Georgia,Gordon County,923219316,129,13129
GA-501,Georgia,Glascock County,372299252,125,13125
GA-501,Georgia,Dawson County,546042252,85,13085
GA-501,Georgia,Terrell County,869695790,273,13273
GA-501,Georgia,Meriwether County,1297342088,199,13199
GA-501,Georgia,Lee County,921632943,177,13177
GA-501,Georgia,Dodge County,1284554870,91,13091
GA-501,Georgia,Jenkins County,899705945,165,13165
GA-501,Georgia,Laurens County,2090990052,175,13175
GA-501,Georgia,Lumpkin County,732820611,187,13187
GA-501,Georgia,Tift County,675702322,277,13277
GA-501,Georgia,Long County,1037028629,183,13183
GA-501,Georgia,Cook County,591694198,75,13075
GA-501,Georgia,Berrien County,1174239572,19,13019
GA-501,Georgia,Banks County,602578150,11,13011
GA-501,Georgia,Johnson County,784815228,167,13167
GA-501,Georgia,Colquitt County,1416897182,71,13071
GA-501,Georgia,Pulaski County,645583958,235,13235
GA-501,Georgia,Randolph County,1109126228,243,13243
GA-501,Georgia,Jeff Davis County,857075892,161,13161
GA-501,Georgia,Marion County,947213855,197,13197
GA-501,Georgia,Atkinson County,887642157,3,13003
GA-501,Georgia,Worth County,1478084027,321,13321
GA-501,Georgia,Morgan County,899791082,211,13211
GA-501,Georgia,Walton County,846460828,297,13297
GA-501,Georgia,Jasper County,954167639,159,13159
GA-501,Georgia,Macon County,1037709939,193,13193
GA-501,Georgia,Coffee County,1533916511,69,13069
GA-501,Georgia,Butts County,475754795,35,13035
GA-501,Georgia,Spalding County,507561204,255,13255
GA-501,Georgia,Candler County,629520842,43,13043
GA-501,Georgia,Evans County,473690212,109,13109
GA-501,Georgia,Upson County,837774877,293,13293
GA-501,Georgia,Dougherty County,851183382,95,13095
GA-501,Georgia,Peach County,389233786,225,13225
GA-501,Georgia,Irwin County,917795237,155,13155
GA-501,Georgia,Turner County,739227758,287,13287
GA-501,Georgia,Baker County,885665382,7,13007
GA-501,Georgia,Ben Hill County,647802704,17,13017
GA-501,Georgia,Calhoun County,726191507,37,13037
GA-501,Georgia,Dooly County,1016908643,93,13093
GA-501,Georgia,Monroe County,1025872454,207,13207
IN-502,Indiana,Fayette County,556901575,41,18041
IN-502,Indiana,Huntington County,991031149,69,18069
MI-500,Michigan,Oscoda County,1465088042,135,26135
MO-606,Missouri,Cedar County,1228870903,39,29039
ND-500,North Dakota,Pierce County,2637345130,69,38069
SD-500,South Dakota,Douglas County,1118358781,43,46043
KS-507,Kansas,Osborne County,2311604926,141,20141
OH-507,Ohio,Harrison County,1042032638,67,39067
IN-502,Indiana,Henry County,1014957930,65,18065
IN-502,Indiana,Daviess County,1112436829,27,18027
KS-507,Kansas,Kearny County,2254696659,93,20093
KS-507,Kansas,Rush County,1858997546,165,20165
KY-500,Kentucky,Nelson County,1084391549,179,21179
NE-500,Nebraska,Hooker County,1867293650,91,31091
NV-502,Nevada,Lander County,14294783207,15,32015
OH-507,Ohio,Hardin County,1218033117,65,39065
IN-502,Indiana,Fulton County,954133332,49,18049
IN-502,Indiana,Whitley County,869256022,183,18183
AR-505,Arkansas,Bradley County,1681335016,11,5011
CO-500,Colorado,Lake County,976215866,65,8065
CO-500,Colorado,Huerfano County,4120756305,55,8055
MO-606,Missouri,Reynolds County,2093946390,179,29179
ID-501,Idaho,Valley County,9492613290,85,16085
ID-501,Idaho,Bannock County,2881332843,5,16005
IL-520,Illinois,Edwards County,576012470,47,17047
KY-500,Kentucky,Jackson County,894134829,109,21109
KY-500,Kentucky,Morgan County,987053730,175,21175
KY-500,Kentucky,Bath County,719997080,11,21011
NC-503,North Carolina,Wilson County,952012884,195,37195
KY-500,Kentucky,Menifee County,527162212,165,21165
LA-505,Louisiana,Richland Parish,1439031396,83,22083
MS-501,Mississippi,Newton County,1496417773,101,28101
NC-503,North Carolina,Rowan County,1325062503,159,37159
NE-500,Nebraska,Colfax County,1065675354,37,31037
OH-507,Ohio,Shelby County,1055922235,149,39149
MO-606,Missouri,Dent County,1949641179,65,29065
UT-503,Utah,Wayne County,6374203167,55,49055
WA-501,Washington,Douglas County,4711819967,17,53017
WV-508,West Virginia,Lewis County,1002144341,41,54041
WI-500,Wisconsin,Juneau County,1986729544,57,55057
WI-500,Wisconsin,Eau Claire County,1652211242,35,55035
WY-500,Wyoming,Fremont County,23785405153,13,56013
WI-500,Wisconsin,Calumet County,824263567,15,55015
VA-604,Virginia,Manassas city,25493247,683,51683
WI-500,Wisconsin,Barron County,2235299817,5,55005
NM-501,New Mexico,Los Alamos County,282626747,28,35028
NE-500,Nebraska,Keith County,2750729960,101,31101
SD-500,South Dakota,Clark County,2479944304,25,46025
SD-500,South Dakota,Miner County,1476734132,97,46097
NE-500,Nebraska,Lincoln County,6641131934,111,31111
NE-500,Nebraska,Hamilton County,1403851003,81,31081
WV-508,West Virginia,Randolph County,2692810852,83,54083
IA-501,Iowa,Hancock County,1478895050,81,19081
IL-518,Illinois,Putnam County,414649975,155,17155
MS-501,Mississippi,Quitman County,1048975539,119,28119
MT-500,Montana,Teton County,5883457566,99,30099
MT-500,Montana,Meagher County,6194909927,59,30059
MO-606,Missouri,Boone County,1775569567,19,29019
IN-502,Indiana,Delaware County,1015558818,35,18035
AL-507,Alabama,Marengo County,2530155124,91,1091
KS-507,Kansas,Barton County,2318705430,9,20009
VA-521,Virginia,Staunton city,51593818,790,51790
IN-502,Indiana,Parke County,1151832460,121,18121
WI-500,Wisconsin,Menominee County,926217566,78,55078
IN-502,Indiana,Washington County,1330447135,175,18175
IA-501,Iowa,Delaware County,1496193387,55,19055
TX-624,Texas,Archer County,2339508193,9,48009
IN-502,Indiana,Monroe County,1021809763,105,18105
IA-501,Iowa,Chickasaw County,1306192617,37,19037
KS-507,Kansas,Sheridan County,2320518304,179,20179
MN-502,Minnesota,Steele County,1112525219,147,27147
MN-511,Minnesota,Lyon County,1850315111,83,27083
MS-501,Mississippi,Lee County,1165404266,81,28081
IN-502,Indiana,Noble County,1064077378,113,18113
CO-500,Colorado,Custer County,1913031985,27,8027
CO-500,Colorado,Summit County,1575563219,117,8117
CO-500,Colorado,Delta County,2958090989,29,8029
NE-500,Nebraska,Fillmore County,1490200737,59,31059
NE-500,Nebraska,Morrill County,3687380852,123,31123
MS-501,Mississippi,Carroll County,1627517130,15,28015
ID-501,Idaho,Blaine County,6831709432,13,16013
ID-501,Idaho,Lewis County,1240141962,61,16061
ID-501,Idaho,Camas County,2782253887,25,16025
NC-503,North Carolina,Martin County,1182102538,117,37117
NC-503,North Carolina,Halifax County,1874472932,83,37083
MO-606,Missouri,St. Francois County,1170380019,187,29187
ND-500,North Dakota,Wells County,3290664846,103,38103
TN-507,Tennessee,Gibson County,1561102696,53,47053
TN-503,Tennessee,Maury County,1587876683,119,47119
KS-507,Kansas,Pawnee County,1953531638,145,20145
KS-507,Kansas,Finney County,3372157850,55,20055
IN-502,Indiana,Starke County,800679819,149,18149
OK-506,Oklahoma,Kiowa County,2629039887,75,40075
PA-601,Pennsylvania,Clarion County,1556156937,31,42031
IN-502,Indiana,Jasper County,1449563753,73,18073
SD-500,South Dakota,Meade County,8989677172,93,46093
SD-500,South Dakota,Jerauld County,1362677256,73,46073
KY-500,Kentucky,Knott County,910442831,119,21119
KS-507,Kansas,Grant County,1488745953,67,20067
KS-507,Kansas,Elk County,1668637027,49,20049
KY-500,Kentucky,Owsley County,511268800,189,21189
MS-501,Mississippi,Leflore County,1538645699,83,28083
MS-501,Mississippi,Holmes County,1959776830,51,28051
MO-606,Missouri,Callaway County,2161513203,27,29027
AZ-500,Arizona,Graham County,11970605960,9,4009
AR-503,Arkansas,Jackson County,1641044497,67,5067
VA-500,Virginia,Henrico County,605276759,87,51087
VA-521,Virginia,Pulaski County,828380598,155,51155
MT-500,Montana,Custer County,9798723728,17,30017
MT-500,Montana,Garfield County,12112233249,33,30033
KY-500,Kentucky,Green County,740640299,87,21087
WA-501,Washington,Grant County,6939995079,25,53025
WV-508,West Virginia,Gilmer County,876717620,21,54021
AL-507,Alabama,Clay County,1564255426,27,1027
WV-508,West Virginia,Ritchie County,1170648850,85,54085
WV-508,West Virginia,Tucker County,1085313664,93,54093
WI-500,Wisconsin,Sawyer County,3257170153,113,55113
IA-501,Iowa,Pocahontas County,1495047202,151,19151
OH-507,Ohio,Knox County,1361036421,83,39083
IA-501,Iowa,Black Hawk County,1465346456,13,19013
AL-507,Alabama,Conecuh County,2202213383,35,1035
NE-500,Nebraska,Rock County,2611461740,149,31149
